file name,Incline,Angle
IND200_IN6_#3_max28-38.tif,46.196,76.03
IND200_IN6_#3_max28-38.tif,46.196,82.77
IND200_IN6_#3_max28-38.tif,46.196,-63.26
IND200_IN6_#3_max17-21.tif,46.196,-77.9
IND200_IN6_#3_max17-21.tif,46.196,-84.34
IND200_IN6_#3_max17-21.tif,46.196,-60.77
IND200_IN6_#3_max17-21.tif,46.196,71.77
Project_Series005_Median001_z24_ch00_SV.tif,46.196,-56.8
Project_Series005_Median001_z24_ch00_SV.tif,46.196,88.1
Project_Series005_Median001_z24_ch00_SV.tif,46.196,-69.93
IND200_IN6_#2_max0-3.tif,46.196,-85.18
IND200_IN6_#2_max0-3.tif,46.196,-73.65
IND200_IN6_#2_max0-3.tif,46.196,59.85
IND200_IN6_#2_max0-3.tif,46.196,-62.35
IND200_IN6_#2_max0-3.tif,46.196,86.51
IND200_IN6_#2_max0-3.tif,46.196,-66.94
IND200_IN6_#2_max0-3.tif,46.196,88.25
IND200_IN6_#2_max0-3.tif,46.196,-58.13
IND200_IN6_#2_max0-3.tif,46.196,-53.42
IND200_IN6_#2_max0-3.tif,46.196,79.93
IND200_IN6_#1_max2-5.tif,46.196,-62.91
IND200_IN6_#1_max2-5.tif,46.196,88
IND200_IN6_#1_max2-5.tif,46.196,-49.82
IND200_IN6_#1_max2-5.tif,46.196,-57.06
IND200_IN6_#1_max2-5.tif,46.196,-72.67
IND200_IN6_#1_max2-5.tif,46.196,74.37
IND200_IN6_#1_max2-5.tif,46.196,-69.51
IND200_IN6_#1_max2-5.tif,46.196,80.08
IND200_IN6_#1_max2-5.tif,46.196,-83.17
IND200_IN6_#1_max2-5.tif,46.196,-71.39
IND18_IN6_#1_max42-50.tif,66.54,-87.77
IND18_IN6_#1_max42-50.tif,66.54,-71.96
IND18_IN6_#1_max42-50.tif,66.54,-77.73
IND18_IN6_#1_max42-50.tif,66.54,-75.26
IND18_IN6_#1_max42-50.tif,66.54,-76.86
IND18_IN6_#1_max42-50.tif,66.54,81.01
IND18_IN6_#1_max42-50.tif,66.54,-61.88
IND18_IN6_#1_max42-50.tif,66.54,-86.08
IND18_IN6_#1_max42-50.tif,66.54,-84.79
IND18_IN6_#1_max42-50.tif,66.54,-72.23
IND18_IN6_#2_max55-59.tif,66.54,-80.15
IND18_IN6_#2_max55-59.tif,66.54,80.93
IND18_IN6_#2_max55-59.tif,66.54,-47.72
IND18_IN6_#2_max55-59.tif,66.54,-85.19
IND18_IN6_#2_max55-59.tif,66.54,76.49
IND18_IN6_#2_max55-59.tif,66.54,-83.35
IND18_IN6_#2_max55-59.tif,66.54,86.56
IND18_IN6_#2_max55-59.tif,66.54,74.95
IND18_IN6_#2_max55-59.tif,66.54,-73.82
IND18_IN6_#2_max55-59.tif,66.54,-87.61
IND18_IN6_#3_max31-34.tif,66.54,-66.61
IND18_IN6_#3_max31-34.tif,66.54,54.11
IND18_IN6_#3_max31-34.tif,66.54,-79.85
IND18_IN6_#3_max31-34.tif,66.54,-52.74
IND18_IN6_#3_max31-34.tif,66.54,-86.13
IND18_IN6_#3_max31-34.tif,66.54,-89.6
IND18_IN6_#3_max31-34.tif,66.54,-63.27
IND18_IN6_#3_max31-34.tif,66.54,-68.25
IND18_IN6_#3_max31-34.tif,66.54,85.04
IND18_IN6_#3_max31-34.tif,66.54,89.25
IND17_IN6_#1_max45-57.tif,59.9,-85.51
IND17_IN6_#1_max45-57.tif,59.9,-76.75
IND17_IN6_#1_max45-57.tif,59.9,-89.52
IND17_IN6_#1_max45-57.tif,59.9,-89.13
IND17_IN6_#1_max45-57.tif,59.9,-79.04
IND17_IN6_#1_max45-57.tif,59.9,-52.55
IND17_IN6_#1_max45-57.tif,59.9,-52.26
IND17_IN6_#1_max45-57.tif,59.9,-80.6
IND17_IN6_#1_max45-57.tif,59.9,85.87
IND17_IN6_#1_max45-57.tif,59.9,-77.05
IND17_IN6_#2_max37-53.tif,59.9,-70.69
IND17_IN6_#2_max37-53.tif,59.9,-60.57
IND17_IN6_#2_max37-53.tif,59.9,-75.82
IND17_IN6_#2_max37-53.tif,59.9,80.19
IND17_IN6_#2_max37-53.tif,59.9,-83.94
IND17_IN6_#2_max37-53.tif,59.9,-59.83
IND17_IN6_#2_max37-53.tif,59.9,-72.75
IND17_IN6_#2_max37-53.tif,59.9,-82.75
IND17_IN6_#2_max37-53.tif,59.9,-71.15
IND17_IN6_#2_max37-53.tif,59.9,86.36
IND17_IN6_#3_max26-43.tif,59.9,-74.13
IND17_IN6_#3_max26-43.tif,59.9,-74.66
IND17_IN6_#3_max26-43.tif,59.9,-78.86
IND17_IN6_#3_max26-43.tif,59.9,81.49
IND17_IN6_#3_max26-43.tif,59.9,-85.61
IND17_IN6_#3_max26-43.tif,59.9,-78.26
IND17_IN6_#3_max26-43.tif,59.9,-68.45
IND17_IN6_#3_max26-43.tif,59.9,-51.94
IND17_IN6_#3_max26-43.tif,59.9,71.81
IND17_IN6_#3_max26-43.tif,59.9,-85.07
IND9_IN6_#5_max8-14.tif,52.13,76.19
IND9_IN6_#5_max8-14.tif,52.13,-88.07
IND9_IN6_#5_max8-14.tif,52.13,84.22
IND9_IN6_#5_max8-14.tif,52.13,80.56
IND9_IN6_#5_max8-14.tif,52.13,-85.59
IND9_IN6_#5_max8-14.tif,52.13,-81.22
IND9_IN6_#5_max8-14.tif,52.13,85.35
IND9_IN6_#5_max8-14.tif,52.13,-78.01
IND9_IN6_#5_max8-14.tif,52.13,73.93
IND9_IN6_#5_max8-14.tif,52.13,-68.63
IND9_IN6_#6_max2-8.tif,52.13,-86.8
IND9_IN6_#6_max2-8.tif,52.13,88.49
IND9_IN6_#6_max2-8.tif,52.13,-77.52
IND9_IN6_#6_max2-8.tif,52.13,-88.48
IND9_IN6_#6_max2-8.tif,52.13,86.9
IND9_IN6_#6_max12-20.tif,52.13,78.35
IND9_IN6_#6_max12-20.tif,52.13,-81.93
IND9_IN6_#6_max12-20.tif,52.13,-88.1
IND9_IN6_#6_max12-20.tif,52.13,-85.17
IND9_IN6_#6_max12-20.tif,52.13,74.93
IND9_IN6_#3_max1-12.tif,52.13,-81.58
IND9_IN6_#3_max1-12.tif,52.13,53.52
IND9_IN6_#3_max1-12.tif,52.13,71.87
IND9_IN6_#3_max1-12.tif,52.13,-72.47
IND9_IN6_#3_max1-12.tif,52.13,88.75
IND9_IN6_#3_max1-12.tif,52.13,82.44
IND9_IN6_#3_max1-12.tif,52.13,-86.25
IND9_IN6_#3_max1-12.tif,52.13,-85.55
IND9_IN6_#3_max1-12.tif,52.13,-89.63
IND9_IN6_#3_max1-12.tif,52.13,89.54