Section,Height,Stage
IN6,15.3,S5
IN6,11,S5
IN6,10.8,S5
IN6,10,S5
IN6,13.4,S5
IN6,9.9,S5
IN6,9.4,S5
IN6,9.4,S5
IN6,15,S5
IN6,10.3,S5
IN6,11.5,S5
IN6,11,S5
IN6,8.5,S5
IN6,2,S5
IN3,5.3,S5
IN3,2.3,S5
IN3,3.1,S5
IN3,2.6,S5
IN3,3.6,S5
IN3,3,S5
IN3,3.1,S5
IN3,3.6,S5
IN3,6,S5
IN3,4,S5
IN3,4.5,S5
IN3,4.5,S5
IN3,4.5,S5
IN3,5,S5
IN1,4,S5
IN1,2.5,S5
IN1,2.2,S5
IN1,2,S5
IN1,2.5,S5
IN1,2.4,S5
IN1,2.3,S5
IN1,1,S5
IN1,2.5,S5
IN1,2.8,S5
IN1,2.8,S5
IN1,2.4,S5
IN1,1.6,S5
IN1,4,S5
Hyp,4,S5
Hyp,3.6,S5
Hyp,3.2,S5
Hyp,3.5,S5
Hyp,3.6,S5
Hyp,1.8,S5
Hyp,1,S5
Hyp,,S5
Hyp,4,S5
Hyp,4,S5
Hyp,4,S5
Hyp,4,S5
Hyp,,S5
Hyp,3.6,S5
IN6,1.9,S3
IN6,1,S3
IN6,1.3,S3
IN6,1.1,S3
IN6,1.3,S3
IN6,3.8,S3
IN6,2,S3
IN6,1.2,S3
IN6,3.8,S3
IN3,3.4,S3
IN3,5,S3
IN3,4.5,S3
IN3,5,S3
IN3,5.5,S3
IN3,2.5,S3
IN3,3.3,S3
IN3,3,S3
IN3,3,S3
IN1,2.8,S3
IN1,2.7,S3
IN1,2.6,S3
IN1,2.4,S3
IN1,2.2,S3
IN1,1.6,S3
IN1,2,S3
IN1,1.7,S3
Hyp,0.5,S3
Hyp,2,S3
Hyp,1.5,S3
Hyp,1.2,S3
Hyp,2,S3
Hyp,1.5,S3
Hyp,4.3,S3
Hyp,5,S3
Hyp,2.3,S3
IN1,1.3,S2
IN1,1.3,S2
IN1,1,S2
IN1,1.4,S2
IN1,1.5,S2
IN1,1.3,S2
IN1,1.6,S2
Hyp,2.8,S2
Hyp,3,S2
Hyp,1.8,S2
Hyp,3.2,S2
Hyp,2.8,S2
Hyp,2.3,S2
Hyp,2.8,S2