Stage,Section,Height
S2,Hyp,2.8
S2,Hyp,3
S2,Hyp,1.8
S2,Hyp,3.2
S2,Hyp,2.8
S2,Hyp,2.3
S2,Hyp,2.8
S2,Epi,3
S2,Epi,3
S2,Epi,2.5
S2,Epi,2.1
S2,Epi,2.3
S2,Epi,2.6
S2,Epi,2.6
S2,IN1,1.3
S2,IN1,1.3
S2,IN1,1
S2,IN1,1.4
S2,IN1,1.5
S2,IN1,1.3
S2,IN1,1.6
S2,IN2,0.4
S2,IN2,0.5
S2,IN2,0.3
S2,IN2,0.4
S2,IN2,0.5
S2,IN2,0.5
S2,IN2,0.7
S3,Hyp,0.5
S3,Hyp,2
S3,Hyp,1.5
S3,Hyp,1.2
S3,Hyp,2
S3,Hyp,1.5
S3,Hyp,4.3
S3,Hyp,5
S3,Hyp,2.3
S3,Epi,3.2
S3,Epi,3
S3,Epi,2.8
S3,Epi,3.7
S3,Epi,2
S3,Epi,2.3
S3,Epi,2
S3,Epi,2
S3,Epi,2.2
S3,IN1,2.8
S3,IN1,2.7
S3,IN1,2.6
S3,IN1,2.4
S3,IN1,2.2
S3,IN1,1.6
S3,IN1,2
S3,IN1,1.7
S3,IN1,1.7
S3,IN2,1
S3,IN2,1.1
S3,IN2,1.1
S3,IN2,1
S3,IN2,4
S3,IN2,1.5
S3,IN2,2.2
S3,IN2,2
S3,IN2,1.8
S3,IN3,3.4
S3,IN3,5
S3,IN3,4.5
S3,IN3,5
S3,IN3,5.5
S3,IN3,2.5
S3,IN3,3.3
S3,IN3,3
S3,IN3,3
S3,IN4,3.4
S3,IN4,3.5
S3,IN4,4.5
S3,IN4,4.6
S3,IN4,3.5
S3,IN4,3.8
S3,IN4,3.5
S3,IN4,3
S3,IN4,5
S3,IN5,2.6
S3,IN5,2.3
S3,IN5,3
S3,IN5,2.8
S3,IN5,2.5
S3,IN5,4.1
S3,IN5,3
S3,IN5,2
S3,IN5,5
S3,IN6,1.9
S3,IN6,1
S3,IN6,1.3
S3,IN6,1.1
S3,IN6,1.3
S3,IN6,3.8
S3,IN6,2
S3,IN6,1.2
S3,IN6,3.8
S3,IN7,0.6
S3,IN7,0.3
S3,IN7,0.5
S3,IN7,0.4
S3,IN7,0.9
S3,IN7,2.3
S3,IN7,0.9
S3,IN7,0.6
S3,IN7,0.3
S5,IN9,0.4
S5,IN9,0.6
S5,IN9,0.5
S5,IN9,1
S5,IN9,0.8
S5,IN9,4
S5,IN9,3.6
S5,IN9,5
S5,IN9,1.2
S5,IN9,1.2
S5,IN9,2
S5,IN9,1
S5,IN9,0.8
S5,IN9,
S5,IN8,1.5
S5,IN8,4.8
S5,IN8,3.1
S5,IN8,4.5
S5,IN8,3.4
S5,IN8,13
S5,IN8,12.5
S5,IN8,10.6
S5,IN8,4.3
S5,IN8,4.2
S5,IN8,5.3
S5,IN8,3.5
S5,IN8,2.8
S5,IN8,0.3
S5,IN7,7.5
S5,IN7,14.1
S5,IN7,13.8
S5,IN7,14.1
S5,IN7,13.5
S5,IN7,11.8
S5,IN7,10.3
S5,IN7,9.5
S5,IN7,10.2
S5,IN7,11.8
S5,IN7,11.2
S5,IN7,8.6
S5,IN7,9.1
S5,IN7,1.1
S5,IN6,15.3
S5,IN6,11
S5,IN6,10.8
S5,IN6,10
S5,IN6,13.4
S5,IN6,9.9
S5,IN6,9.4
S5,IN6,9.4
S5,IN6,15
S5,IN6,10.3
S5,IN6,11.5
S5,IN6,11
S5,IN6,8.5
S5,IN6,2
S5,IN5,11.6
S5,IN5,6.5
S5,IN5,7.1
S5,IN5,7.2
S5,IN5,10.5
S5,IN5,6.5
S5,IN5,6.3
S5,IN5,6.8
S5,IN5,13.5
S5,IN5,8.6
S5,IN5,10.2
S5,IN5,8.3
S5,IN5,7.5
S5,IN5,11.2
S5,IN4,7.6
S5,IN4,4.7
S5,IN4,4.5
S5,IN4,4.5
S5,IN4,6.2
S5,IN4,3.5
S5,IN4,4.9
S5,IN4,4.4
S5,IN4,8.5
S5,IN4,5
S5,IN4,6.1
S5,IN4,5.1
S5,IN4,6.2
S5,IN4,9
S5,IN3,5.3
S5,IN3,2.3
S5,IN3,3.1
S5,IN3,2.6
S5,IN3,3.6
S5,IN3,3
S5,IN3,3.1
S5,IN3,3.6
S5,IN3,6
S5,IN3,4
S5,IN3,4.5
S5,IN3,4.5
S5,IN3,4.5
S5,IN3,5
S5,IN2,3.5
S5,IN2,2.5
S5,IN2,2
S5,IN2,2.3
S5,IN2,2.7
S5,IN2,1.4
S5,IN2,2.5
S5,IN2,1
S5,IN2,3
S5,IN2,2.8
S5,IN2,2.6
S5,IN2,2.5
S5,IN2,1.7
S5,IN2,3.8
S5,IN1,4
S5,IN1,2.5
S5,IN1,2.2
S5,IN1,2
S5,IN1,2.5
S5,IN1,2.4
S5,IN1,2.3
S5,IN1,1
S5,IN1,2.5
S5,IN1,2.8
S5,IN1,2.8
S5,IN1,2.4
S5,IN1,1.6
S5,IN1,4
S5,Epi,2.3
S5,Epi,2.6
S5,Epi,3.8
S5,Epi,3.2
S5,Epi,2.9
S5,Epi,4
S5,Epi,4.1
S5,Epi,4
S5,Epi,2.5
S5,Epi,2.4
S5,Epi,2.6
S5,Epi,2.2
S5,Epi,5
S5,Epi,2.6
S5,Hyp,4
S5,Hyp,3.6
S5,Hyp,3.2
S5,Hyp,3.5
S5,Hyp,3.6
S5,Hyp,1.8
S5,Hyp,1
S5,Hyp,
S5,Hyp,4
S5,Hyp,4
S5,Hyp,4
S5,Hyp,4
S5,Hyp,
S5,Hyp,3.6